"obs","w1_type","est","true","fd_z"
"full observability","continuous key explanatory variable",0.437746,0.440155,0.374673
"full observability","continuous key explanatory variable",-0.707494,-0.731197,-0.374355
"full observability","continuous key explanatory variable",-0.287091,-0.288305,0.333924
"full observability","continuous key explanatory variable",-0.293281,-0.294597,-0.266126
"full observability","continuous key explanatory variable",-0.535665,-0.544325,0.537474
"full observability","continuous key explanatory variable",0.769085,0.802825,0.300945
"full observability","continuous key explanatory variable",-0.512404,-0.519944,-0.227818
"full observability","continuous key explanatory variable",0.278279,0.278678,0.603592
"full observability","continuous key explanatory variable",0.623434,0.626597,-0.471247
"full observability","continuous key explanatory variable",-0.558047,-0.566112,-0.333915
"full observability","continuous key explanatory variable",-0.571484,-0.581607,-0.256283
"full observability","continuous key explanatory variable",-0.644729,-0.661808,0.37273
"full observability","continuous key explanatory variable",-0.657646,-0.675012,-0.328429
"full observability","continuous key explanatory variable",-0.553435,-0.562616,-0.689687
"full observability","continuous key explanatory variable",0.466838,0.465219,0.435384
"full observability","continuous key explanatory variable",0.575134,0.58484,-0.194374
"full observability","continuous key explanatory variable",-0.406166,-0.409598,0.140272
"full observability","continuous key explanatory variable",-0.105534,-0.105267,-0.324121
"full observability","continuous key explanatory variable",0.241159,0.2415,-0.382784
"full observability","continuous key explanatory variable",0.591731,0.603287,-0.483958
"full observability","continuous key explanatory variable",-0.59997,-0.613258,0.206501
"full observability","continuous key explanatory variable",0.524026,0.532337,-0.323422
"full observability","continuous key explanatory variable",0.227153,0.226312,0.501776
"full observability","continuous key explanatory variable",-0.258611,-0.25892,-0.456352
"full observability","continuous key explanatory variable",-0.234444,-0.235107,0.376771
"full observability","continuous key explanatory variable",0.534589,0.543526,-0.261415
"full observability","continuous key explanatory variable",0.431332,0.435708,-0.454103
"full observability","continuous key explanatory variable",-0.221223,-0.221278,-0.442873
"full observability","continuous key explanatory variable",0.72176,0.747506,0.499549
"full observability","continuous key explanatory variable",0.306502,0.307851,-0.374388
"full observability","continuous key explanatory variable",-0.716379,-0.732163,-0.159453
"full observability","continuous key explanatory variable",0.121481,0.121195,0.306403
"full observability","continuous key explanatory variable",0.700815,0.72223,0.226553
"full observability","continuous key explanatory variable",0.688237,0.707778,-0.465741
"full observability","continuous key explanatory variable",-0.774766,-0.808666,-0.241464
"full observability","continuous key explanatory variable",-0.505877,-0.510337,0.522711
"full observability","continuous key explanatory variable",-0.140466,-0.134375,-0.324675
"full observability","continuous key explanatory variable",-0.328939,-0.328916,-0.315657
"full observability","continuous key explanatory variable",-0.150191,-0.150303,-0.514245
"full observability","continuous key explanatory variable",-0.443664,-0.448334,-0.63857
"full observability","continuous key explanatory variable",-0.182784,-0.182778,0.217194
"full observability","continuous key explanatory variable",-0.761343,-0.793335,0.506392
"full observability","continuous key explanatory variable",0.240081,0.240686,-0.583082
"full observability","continuous key explanatory variable",-0.377741,-0.380403,-0.521895
"full observability","continuous key explanatory variable",0.805338,0.834065,-0.395026
"full observability","continuous key explanatory variable",-0.151309,-0.151418,-0.264585
"full observability","continuous key explanatory variable",0.758269,0.790195,-0.556117
"full observability","continuous key explanatory variable",-0.0605531,-0.0605512,-0.336309
"full observability","continuous key explanatory variable",0.80559,0.845048,0.336935
"full observability","continuous key explanatory variable",0.429397,0.433704,-0.287135
"full observability","continuous key explanatory variable",-0.598745,-0.611341,-0.516653
"full observability","continuous key explanatory variable",0.606382,0.618353,-0.280441
"full observability","continuous key explanatory variable",0.628235,0.643895,0.485779
"full observability","continuous key explanatory variable",0.661706,0.68049,-0.511997
"full observability","continuous key explanatory variable",-0.426584,-0.430075,0.348885
"full observability","continuous key explanatory variable",-0.0814335,-0.0814149,-0.394868
"full observability","continuous key explanatory variable",-0.479412,-0.4805,-0.191354
"full observability","continuous key explanatory variable",0.580707,0.587739,-0.305071
"full observability","continuous key explanatory variable",0.828845,0.869651,0.547331
"full observability","continuous key explanatory variable",0.559139,0.568671,0.371804
"full observability","continuous key explanatory variable",-0.500381,-0.50626,0.553499
"full observability","continuous key explanatory variable",0.319819,0.320372,-0.202055
"full observability","continuous key explanatory variable",-0.275894,-0.274303,0.575222
"full observability","continuous key explanatory variable",-0.0557374,-0.0556966,0.182766
"full observability","continuous key explanatory variable",0.159789,0.160007,-0.18939
"full observability","continuous key explanatory variable",0.773576,0.807518,0.375272
"full observability","continuous key explanatory variable",-0.722852,-0.748668,0.346871
"full observability","continuous key explanatory variable",-0.434293,-0.434141,0.159949
"full observability","continuous key explanatory variable",-0.0318271,-0.0318535,0.305137
"full observability","continuous key explanatory variable",-0.357032,-0.359209,-0.0914449
"full observability","continuous key explanatory variable",0.568854,0.578715,0.246825
"full observability","continuous key explanatory variable",-0.195808,-0.19603,-0.197618
"full observability","continuous key explanatory variable",0.509342,0.514268,-0.416006
"partial observability","continuous key explanatory variable",-0.996358,-0.895313,0.296432
"partial observability","continuous key explanatory variable",0.836795,0.555407,-0.455726
"partial observability","continuous key explanatory variable",-0.958793,-0.864797,-0.269935
"partial observability","continuous key explanatory variable",0,-0.668008,0.455364
"partial observability","continuous key explanatory variable",-4.56324e-11,-0.437031,0.132685
"partial observability","continuous key explanatory variable",-0.135566,-0.0336685,0.575301
"partial observability","continuous key explanatory variable",0.719304,0.566396,0.39195
"partial observability","continuous key explanatory variable",-0.434508,-0.328475,-0.172948
"partial observability","continuous key explanatory variable",-0.364861,-0.549532,0.587252
"partial observability","continuous key explanatory variable",0.468207,0.270615,-0.519076
"partial observability","continuous key explanatory variable",0.464322,0.531662,0.302791
"partial observability","continuous key explanatory variable",-0.294406,-0.435291,-0.478551
"partial observability","continuous key explanatory variable",0.118037,-0.279021,-0.125812
"partial observability","continuous key explanatory variable",0.402274,0.20113,-0.244562
"partial observability","continuous key explanatory variable",-0.43818,-0.636651,0.268463
"partial observability","continuous key explanatory variable",-0.313109,-0.241562,-0.34992
"partial observability","continuous key explanatory variable",-0.6205,-0.614199,0.234054
"partial observability","continuous key explanatory variable",0.316079,0.23956,0.352196
"partial observability","continuous key explanatory variable",-0.162179,-0.122754,0.333124
"partial observability","continuous key explanatory variable",0.154905,0.138829,0.375508
"partial observability","continuous key explanatory variable",-0.278982,-0.586037,0.327067
"partial observability","continuous key explanatory variable",-0.591055,-0.607218,-0.339975
"partial observability","continuous key explanatory variable",3.53775e-10,0.219763,-0.138797
"partial observability","continuous key explanatory variable",-0.57357,-0.482513,-0.555361
"partial observability","continuous key explanatory variable",0.968329,0.893234,-0.110143
"partial observability","continuous key explanatory variable",0.14618,0.480798,0.295587
"partial observability","continuous key explanatory variable",-0.123413,-0.280225,-0.241684
"partial observability","continuous key explanatory variable",-0.472308,-0.63464,0.22664
"partial observability","continuous key explanatory variable",-0.529773,-0.538848,0.288663
"partial observability","continuous key explanatory variable",1.11022e-15,0.578603,-0.135133
"partial observability","continuous key explanatory variable",0.801509,0.675734,-0.433848
"partial observability","continuous key explanatory variable",0.797431,0.631285,-0.296008
"partial observability","continuous key explanatory variable",-0.466876,-0.582811,0.398011
"partial observability","continuous key explanatory variable",-0.583047,-0.475581,-0.446375
"partial observability","continuous key explanatory variable",-0.278719,-0.35547,0.198938
"partial observability","continuous key explanatory variable",0.0479749,-0.119362,0.469919
"partial observability","continuous key explanatory variable",-0.93428,-0.421716,-0.10755
"partial observability","continuous key explanatory variable",-0.0987496,-0.371694,-0.524871
"partial observability","continuous key explanatory variable",-0.835977,-0.802963,0.349821
"partial observability","continuous key explanatory variable",0.31758,0.635579,0.181811
"partial observability","continuous key explanatory variable",0.335125,0.118674,0.268891
"partial observability","continuous key explanatory variable",0.201884,0.396278,-0.407871
"partial observability","continuous key explanatory variable",3.40705e-12,-0.389057,0.491874
"partial observability","continuous key explanatory variable",-0.820253,-0.511332,-0.152749
"partial observability","continuous key explanatory variable",-0.752278,-0.701585,0.471833
"partial observability","continuous key explanatory variable",0.732419,0.41999,-0.244811
"partial observability","continuous key explanatory variable",0.859299,0.452773,0.659457
"partial observability","continuous key explanatory variable",-0.547461,-0.473996,-0.281275
"partial observability","continuous key explanatory variable",0.385218,-0.268458,0.0400184
"partial observability","continuous key explanatory variable",-0.669875,-0.724621,0.389595
"partial observability","continuous key explanatory variable",-0.364321,-0.40294,-0.556492
"partial observability","continuous key explanatory variable",0.6958,0.701544,0.692854
"partial observability","continuous key explanatory variable",0.475176,0.889303,0.272413
"partial observability","continuous key explanatory variable",0.607583,0.624657,0.451806
"partial observability","continuous key explanatory variable",0.326857,0.254724,0.402035
"partial observability","continuous key explanatory variable",-0.930858,-0.746173,0.499802
"partial observability","continuous key explanatory variable",-0.0158797,0.452529,0.209653
"partial observability","continuous key explanatory variable",-0.0136314,-0.101739,-0.351039
"partial observability","continuous key explanatory variable",0.451398,0.201546,-0.474031
"partial observability","continuous key explanatory variable",0.566894,0.498934,0.648332
"partial observability","continuous key explanatory variable",-0.231249,0.483242,-0.440942
"partial observability","continuous key explanatory variable",0.313348,0.38695,-0.604332
"partial observability","continuous key explanatory variable",0.534603,0.511284,-0.19997
"partial observability","continuous key explanatory variable",-0.378056,-0.349489,0.218963
"partial observability","continuous key explanatory variable",0.450224,0.780331,-0.4158
"partial observability","continuous key explanatory variable",0.0744473,-0.479219,0.204814
"partial observability","continuous key explanatory variable",-0.260057,-0.292312,-0.120722
"partial observability","continuous key explanatory variable",0.38734,0.585086,0.323543
"partial observability","continuous key explanatory variable",0.831882,0.66745,0.4777
"partial observability","continuous key explanatory variable",0.616316,0.494183,0.430908
"partial observability","continuous key explanatory variable",0.673696,0.674099,-0.685705
"partial observability","continuous key explanatory variable",-0.595868,-0.411216,-0.489336
"partial observability","continuous key explanatory variable",0.538998,0.723171,-0.145641
"partial observability","continuous key explanatory variable",0.310853,0.593127,0.256522
"partial observability","continuous key explanatory variable",-0.362728,-0.408031,0.328361
"partial observability","continuous key explanatory variable",0.468643,0.759216,0.337686
"partial observability","continuous key explanatory variable",-0.103204,-0.30208,0.304311
"partial observability","continuous key explanatory variable",-0.691541,-0.504284,-0.291111
"partial observability","continuous key explanatory variable",0.846143,0.866158,-0.359856
"partial observability","continuous key explanatory variable",-0.843321,-0.703636,0.445711
"partial observability","continuous key explanatory variable",-0.180681,-0.242557,0.610533
"partial observability","continuous key explanatory variable",-0.581667,-0.621181,0.209298
"partial observability","continuous key explanatory variable",-0.113991,0.223049,0.376776
"partial observability","continuous key explanatory variable",-0.187111,-0.252848,-0.195378
"partial observability","continuous key explanatory variable",0.36492,0.361214,0.263028
"partial observability","continuous key explanatory variable",0.920708,0.761189,0.188794
"partial observability","continuous key explanatory variable",0.530445,0.476971,-0.135324
"partial observability","continuous key explanatory variable",0.365307,0.346093,-0.505061
"partial observability","continuous key explanatory variable",-0.525655,-0.495531,0.373401
"partial observability","continuous key explanatory variable",-0.149031,-0.11943,-0.0948301
"partial observability","continuous key explanatory variable",-0.505087,-0.572209,-0.416602
"partial observability","continuous key explanatory variable",0.26197,0.208396,0.497235
"partial observability","continuous key explanatory variable",2.77556e-10,0.456356,0.25175
"partial observability","continuous key explanatory variable",0.584784,0.607932,0.693334
"partial observability","continuous key explanatory variable",-0.426863,-0.445312,-0.694363
"partial observability","continuous key explanatory variable",0.133626,0.380225,-0.436965
"partial observability","continuous key explanatory variable",-0.895312,-0.803484,-0.38033
"partial observability","continuous key explanatory variable",0.989068,0.864499,-0.26249
"partial observability","continuous key explanatory variable",-0.0656573,0.103525,0.25052
"partial observability","continuous key explanatory variable",0.284553,0.624353,0.269625
"partial observability","continuous key explanatory variable",0.568688,0.718459,-0.13683
"partial observability","continuous key explanatory variable",-0.440147,-0.476837,0.252838
"partial observability","continuous key explanatory variable",0.444242,0.661567,-0.416882
"partial observability","continuous key explanatory variable",-0.266609,-0.325887,-0.62348
"partial observability","continuous key explanatory variable",0,0.104183,-0.271221
"partial observability","continuous key explanatory variable",1.16761e-09,0.440073,0.474656
"partial observability","continuous key explanatory variable",0.22965,0.410575,-0.335456
"partial observability","continuous key explanatory variable",-0.77889,-0.588323,-0.252255
"partial observability","continuous key explanatory variable",-0.423767,-0.226028,0.313684
"partial observability","continuous key explanatory variable",-0.395251,-0.461812,0.448843
"partial observability","continuous key explanatory variable",-0.455982,-0.480848,0.346696
"partial observability","continuous key explanatory variable",-0.751697,-0.703704,-0.183479
"partial observability","continuous key explanatory variable",-0.849815,-0.749819,-0.411775
"partial observability","continuous key explanatory variable",0.232649,0.440014,-0.534061
"partial observability","continuous key explanatory variable",-0.135443,-0.183853,0.477875
"partial observability","continuous key explanatory variable",0.391362,0.764377,-0.504245
"partial observability","continuous key explanatory variable",-0.886019,-0.856876,-0.198171
"partial observability","continuous key explanatory variable",-0.585672,-0.656313,-0.174469
"partial observability","continuous key explanatory variable",0.946807,0.693005,-0.509453
"partial observability","continuous key explanatory variable",-0.1084,-0.576147,-0.391341
"partial observability","continuous key explanatory variable",0.0915946,0.0859007,-0.242057
"partial observability","continuous key explanatory variable",0.0605774,0.341453,0.165511
"partial observability","continuous key explanatory variable",-0.59898,-0.700922,-0.176356
"partial observability","continuous key explanatory variable",-0.887536,-0.942977,0.617398
"partial observability","continuous key explanatory variable",0.478684,0.542826,-0.209506
"partial observability","continuous key explanatory variable",-0.40032,-0.30814,-0.411091
"partial observability","continuous key explanatory variable",-0.595059,-0.443045,-0.570527
"partial observability","continuous key explanatory variable",-0.492573,-0.718738,0.317844
"partial observability","continuous key explanatory variable",6.10578e-12,-0.347233,0.448468
"partial observability","continuous key explanatory variable",0.422086,0.429261,-0.136875
"partial observability","continuous key explanatory variable",0.0558159,0.631408,-0.196003
"partial observability","continuous key explanatory variable",0.303746,0.432836,-0.469605
"partial observability","continuous key explanatory variable",0,-0.521732,0.16129
"partial observability","continuous key explanatory variable",0.158462,0.0672616,-0.442318
"partial observability","continuous key explanatory variable",1.33227e-15,-0.509985,-0.204622
"partial observability","continuous key explanatory variable",-0.816572,-0.48178,0.219133
"partial observability","continuous key explanatory variable",-0.913959,-0.703754,-0.280456
"partial observability","continuous key explanatory variable",0.123469,0.302779,-0.343736
"partial observability","continuous key explanatory variable",0.511517,0.500966,0.508362
"partial observability","continuous key explanatory variable",-0.975875,-0.85791,0.433764
"partial observability","continuous key explanatory variable",-0.613982,-0.695903,-0.539176
"partial observability","continuous key explanatory variable",0.550345,0.147491,-0.157904
"partial observability","continuous key explanatory variable",0.597998,0.333532,-0.416767
"partial observability","continuous key explanatory variable",-0.752471,-0.52366,-0.469056
"partial observability","continuous key explanatory variable",-0.502503,-0.504017,0.327526
"partial observability","continuous key explanatory variable",-0.922321,-0.918392,0.539735
"partial observability","continuous key explanatory variable",-0.37385,-0.621767,0.550523
"partial observability","continuous key explanatory variable",0,-0.666297,-0.219756
"partial observability","continuous key explanatory variable",-0.477482,-0.577233,-0.149786
"partial observability","continuous key explanatory variable",-0.359265,-0.224076,-0.333707
"partial observability","continuous key explanatory variable",-0.672256,0.496973,0.112781
"partial observability","continuous key explanatory variable",-0.158853,-0.426118,0.221873
"partial observability","continuous key explanatory variable",0.153899,0.214527,0.279868
"partial observability","continuous key explanatory variable",-0.623492,-0.616234,0.179437
"partial observability","continuous key explanatory variable",-0.565588,-0.438005,-0.225619
"partial observability","continuous key explanatory variable",0.642749,0.870705,-0.204933
"partial observability","continuous key explanatory variable",-0.0438135,-0.531558,-0.100563
"partial observability","continuous key explanatory variable",0.642291,0.507916,0.393017
"partial observability","continuous key explanatory variable",0.610814,0.309998,-0.411081
"partial observability","continuous key explanatory variable",0.326676,0.715291,-0.3279
"partial observability","continuous key explanatory variable",-0.423686,-0.524575,0.197659
"partial observability","continuous key explanatory variable",0.0795907,0.586491,-0.412876
"partial observability","continuous key explanatory variable",0.299516,0.199865,-0.300721
"partial observability","continuous key explanatory variable",-0.563013,-0.874808,0.45872
"partial observability","continuous key explanatory variable",0.139624,0.307772,0.489268
"partial observability","continuous key explanatory variable",-0.0752514,-0.160633,-0.515803
"partial observability","continuous key explanatory variable",-0.619516,-0.46195,-0.440254
"partial observability","continuous key explanatory variable",-0.0451791,-0.260823,-0.198596
"partial observability","continuous key explanatory variable",0.74074,0.431253,0.172551
"partial observability","continuous key explanatory variable",0.710374,0.607308,-0.387153
"partial observability","continuous key explanatory variable",0.276685,0.292712,0.433472
"partial observability","continuous key explanatory variable",-0.305526,-0.464372,-0.368769
"partial observability","continuous key explanatory variable",0,0.704547,-0.210634
"partial observability","continuous key explanatory variable",-0.897787,-0.700258,-0.451005
"partial observability","continuous key explanatory variable",-0.661958,-0.79746,0.247603
"partial observability","continuous key explanatory variable",-0.182274,-0.282212,0.315101
"partial observability","continuous key explanatory variable",0.586065,0.693418,0.394795
"partial observability","continuous key explanatory variable",-0.491783,-0.0551055,-0.350794
"partial observability","continuous key explanatory variable",0.293667,0.337605,0.342234
"partial observability","continuous key explanatory variable",-0.120142,-0.185785,0.230129
"partial observability","continuous key explanatory variable",0.459,0.113586,0.301956
"partial observability","continuous key explanatory variable",2.22045e-16,0.558447,-0.179617
"partial observability","continuous key explanatory variable",-0.317635,-0.0786173,-0.378971
"partial observability","continuous key explanatory variable",0.728384,0.344499,0.200177
"partial observability","continuous key explanatory variable",-0.0962782,-0.206101,0.588887
"partial observability","continuous key explanatory variable",0.535274,0.379699,-0.0559368
"partial observability","continuous key explanatory variable",0.315806,0.564046,-0.172903
"partial observability","continuous key explanatory variable",0.091205,0.235015,0.188783
"partial observability","continuous key explanatory variable",-0.0713979,-0.200481,-0.281981
"partial observability","continuous key explanatory variable",0.683233,0.916179,-0.184549
"partial observability","continuous key explanatory variable",-0.188665,-0.11363,0.449965
"partial observability","continuous key explanatory variable",-2.09898e-09,-0.378303,-0.128901
"partial observability","continuous key explanatory variable",-0.276334,-0.0843585,0.32131
"partial observability","continuous key explanatory variable",-0.557509,-0.365945,-0.442127
"partial observability","continuous key explanatory variable",-0.492607,-0.395406,-0.305457
"partial observability","continuous key explanatory variable",0.0751728,-0.282113,0.331741
"partial observability","continuous key explanatory variable",-0.332409,-0.268258,0.479591
"partial observability","continuous key explanatory variable",0.620793,0.676706,-0.688346
"partial observability","continuous key explanatory variable",-0.634123,-0.617705,0.400144
"partial observability","continuous key explanatory variable",-0.0909626,-0.142013,0.599391
"partial observability","continuous key explanatory variable",0.625828,0.619256,0.256928
"partial observability","continuous key explanatory variable",0.105627,0.0775489,0.490289
"partial observability","continuous key explanatory variable",0.36979,0.691022,0.141219
"partial observability","continuous key explanatory variable",-0.614416,-0.327299,-0.395332
"partial observability","continuous key explanatory variable",0.564059,0.477392,-0.327139
"partial observability","continuous key explanatory variable",-0.342376,-0.219539,-0.322558
"partial observability","continuous key explanatory variable",-0.926496,-0.614186,0.312624
"partial observability","continuous key explanatory variable",0.836086,0.648791,-0.528691
"partial observability","continuous key explanatory variable",0.667661,0.550292,-0.596648
"partial observability","continuous key explanatory variable",-0.833862,-0.926737,-0.29277
"partial observability","continuous key explanatory variable",0.629077,0.621002,0.459128
"partial observability","continuous key explanatory variable",0.770078,0.534964,-0.288341
"partial observability","continuous key explanatory variable",0.286188,-0.244241,-0.418649
"partial observability","continuous key explanatory variable",-0.16024,0.336639,0.18009
"partial observability","continuous key explanatory variable",-0.101282,-0.346745,0.323032
"partial observability","continuous key explanatory variable",0.0191842,-0.296081,-0.21375
"partial observability","continuous key explanatory variable",-0.81443,-0.575796,-0.304301
"partial observability","continuous key explanatory variable",0.394515,0.3048,0.456819
"partial observability","continuous key explanatory variable",-0.746829,-0.635772,0.294257
"partial observability","continuous key explanatory variable",0.336018,0.51039,-0.123363
"partial observability","continuous key explanatory variable",8.88178e-16,-0.573316,0.325647
"partial observability","continuous key explanatory variable",0.738133,0.364431,-0.117734
"partial observability","continuous key explanatory variable",-0.0661097,-0.616228,-0.0948313
"partial observability","continuous key explanatory variable",0.619756,0.555565,0.673323
"partial observability","continuous key explanatory variable",0,0.387212,0.460645
"partial observability","continuous key explanatory variable",0.290639,0.410521,-0.334319
"partial observability","continuous key explanatory variable",-0.927381,-0.817857,0.576451
"partial observability","continuous key explanatory variable",0.217986,-0.328437,-0.394953
"partial observability","continuous key explanatory variable",0.742854,0.76136,0.311753
"partial observability","continuous key explanatory variable",-0.672174,-0.556953,0.411802
"partial observability","continuous key explanatory variable",-0.901171,-0.844535,0.20222
"partial observability","continuous key explanatory variable",0.791237,0.911212,0.339226
"partial observability","continuous key explanatory variable",-0.559053,-0.511643,0.498149
"partial observability","continuous key explanatory variable",-0.998079,-0.683284,0.215539
"partial observability","continuous key explanatory variable",-0.674757,-0.0998814,0.0290254
"partial observability","continuous key explanatory variable",0.558152,0.112062,0.523919
"partial observability","continuous key explanatory variable",-0.662165,-0.263769,0.450593
"partial observability","continuous key explanatory variable",9.20028e-10,-0.339584,0.251494
"partial observability","continuous key explanatory variable",0.768635,0.921918,-0.119538
"partial observability","continuous key explanatory variable",-0.441488,-0.503717,-0.14927
"partial observability","continuous key explanatory variable",0.395183,0.43052,-0.565859
"partial observability","continuous key explanatory variable",0.254523,-0.311185,0.163261
"partial observability","continuous key explanatory variable",1.65749e-10,0.162715,-0.106171
"partial observability","continuous key explanatory variable",0.195344,0.332694,0.502602
"partial observability","continuous key explanatory variable",0.130089,0.00269279,0.309148
"partial observability","continuous key explanatory variable",-0.304522,-0.290842,-0.412168
"partial observability","continuous key explanatory variable",-0.257545,-0.481353,-0.518671
"partial observability","continuous key explanatory variable",0.31277,0.285212,0.466506
"partial observability","continuous key explanatory variable",0.206755,0.694016,-0.386573
"partial observability","continuous key explanatory variable",0.335023,0.476169,-0.447499
"partial observability","continuous key explanatory variable",-0.733592,-0.604075,0.448024
"partial observability","continuous key explanatory variable",-0.106564,-0.157668,-0.420054
"partial observability","continuous key explanatory variable",0.0887851,0.217336,-0.178589
"partial observability","continuous key explanatory variable",0.628296,0.674938,-0.725442
"partial observability","continuous key explanatory variable",0.51298,0.295093,0.618867
"partial observability","continuous key explanatory variable",-0.435709,-0.382525,-0.360913
"partial observability","continuous key explanatory variable",-0.6937,-0.6061,0.4216
"partial observability","continuous key explanatory variable",0.799812,0.55529,-0.189564
"partial observability","continuous key explanatory variable",6.23901e-12,-0.306391,-0.391931
"partial observability","continuous key explanatory variable",0.387533,-0.221479,-0.0872985
"partial observability","continuous key explanatory variable",0.0987521,0.257783,0.350201
"partial observability","continuous key explanatory variable",-0.648706,-0.678971,0.326004
"partial observability","continuous key explanatory variable",0.783298,0.702354,-0.378334
"partial observability","continuous key explanatory variable",0.576073,0.715774,0.433513
"partial observability","continuous key explanatory variable",-0.200236,-0.12489,0.383796
"partial observability","continuous key explanatory variable",-0.615627,-0.530716,0.265754
"partial observability","continuous key explanatory variable",-0.823042,-0.561001,0.199518
"partial observability","continuous key explanatory variable",-0.611954,-0.676839,0.247335
"partial observability","continuous key explanatory variable",0.483402,0.393839,-0.402126
"partial observability","continuous key explanatory variable",-0.0299153,0.214557,0.331205
"partial observability","continuous key explanatory variable",-0.490203,-0.590898,-0.259166
"partial observability","continuous key explanatory variable",-0.289026,-0.50809,-0.261486
"partial observability","continuous key explanatory variable",-0.887297,-0.822981,0.341223
"partial observability","continuous key explanatory variable",0.266609,0.515795,-0.299339
"partial observability","continuous key explanatory variable",0.355008,0.402065,0.375241
"partial observability","continuous key explanatory variable",-0.311563,-0.426915,0.44176
"partial observability","continuous key explanatory variable",-0.649113,-0.751208,0.489716
"partial observability","continuous key explanatory variable",0.528343,-0.266764,0.399793
"partial observability","continuous key explanatory variable",-0.370139,-0.281819,-0.242721
"partial observability","continuous key explanatory variable",0.144436,0.194313,0.245599
"partial observability","continuous key explanatory variable",-0.348283,-0.416287,0.158708
"partial observability","continuous key explanatory variable",0.245118,0.313385,0.294732
"partial observability","continuous key explanatory variable",0.5533,0.513294,-0.553854
"partial observability","continuous key explanatory variable",-0.598126,-0.304215,-0.247532
"partial observability","continuous key explanatory variable",-0.674609,-0.808322,0.245202
"partial observability","continuous key explanatory variable",-0.173088,-0.257529,-0.111803
"partial observability","continuous key explanatory variable",-0.314173,-0.587614,0.427075
"partial observability","continuous key explanatory variable",-0.594633,-0.568435,0.433734
"partial observability","continuous key explanatory variable",0.0542711,-0.0503783,0.424978
"partial observability","continuous key explanatory variable",-0.519048,-0.296005,-0.430577
"partial observability","continuous key explanatory variable",-0.724684,-0.765222,0.164914
"partial observability","continuous key explanatory variable",0.746033,0.201983,0.138885
"partial observability","continuous key explanatory variable",-0.805712,-0.177471,-0.203383
"partial observability","continuous key explanatory variable",-0.874689,-0.774625,0.317126
"partial observability","continuous key explanatory variable",0.144907,0.119165,0.30571
"partial observability","continuous key explanatory variable",0.1238,0.398371,0.522349
"partial observability","continuous key explanatory variable",3.03062e-10,0.198746,0.40158
"partial observability","continuous key explanatory variable",8.81517e-14,0.349936,0.610655
"partial observability","continuous key explanatory variable",0.746075,0.690581,0.389936
"partial observability","continuous key explanatory variable",0.043716,0.529795,0.288869
"partial observability","continuous key explanatory variable",2.00835e-11,0.25362,-0.306332
"partial observability","continuous key explanatory variable",-0.140204,-0.146924,-0.205441
"partial observability","continuous key explanatory variable",0.484174,0.611592,0.293676
"partial observability","continuous key explanatory variable",-0.610194,-0.3591,0.514888
"partial observability","continuous key explanatory variable",0.339708,0.750001,0.209212
"partial observability","continuous key explanatory variable",-0.0500494,0.376834,0.282908
"partial observability","continuous key explanatory variable",0.261465,0.271723,0.645017
"partial observability","continuous key explanatory variable",0.0632197,0.131739,0.438137
"partial observability","continuous key explanatory variable",-0.134225,-0.394763,-0.512218
"partial observability","continuous key explanatory variable",-0.241402,-0.267897,-0.363866
"partial observability","continuous key explanatory variable",0.0690646,0.312847,-0.149876
"partial observability","continuous key explanatory variable",0.396108,0.596663,-0.432529
"partial observability","continuous key explanatory variable",0.198159,0.397803,-0.416793
"partial observability","continuous key explanatory variable",0.729147,0.707179,0.0672344
"partial observability","continuous key explanatory variable",-0.61234,-0.500143,0.412682
"partial observability","continuous key explanatory variable",-0.483304,-0.568752,0.358669
"partial observability","continuous key explanatory variable",-0.254416,-0.27084,0.179944
"partial observability","continuous key explanatory variable",0.0233572,-0.113919,0.496989
"partial observability","continuous key explanatory variable",-0.759653,-0.549594,-0.452182
"partial observability","continuous key explanatory variable",-0.468166,-0.218206,-0.184333
"partial observability","continuous key explanatory variable",-0.660572,-0.708109,-0.324695
"partial observability","continuous key explanatory variable",0.213265,0.167121,-0.239719
"partial observability","continuous key explanatory variable",-0.622553,-0.579291,-0.421582
"partial observability","continuous key explanatory variable",0.729829,0.857082,-0.522428
"partial observability","continuous key explanatory variable",-0.637494,-0.721467,0.522693
"partial observability","continuous key explanatory variable",0.244067,0.383594,0.56246
"partial observability","continuous key explanatory variable",-0.289422,-0.422971,0.383217
"partial observability","continuous key explanatory variable",0.560341,0.403454,-0.103756
"partial observability","continuous key explanatory variable",-0.896176,-0.802579,0.199086
"partial observability","continuous key explanatory variable",-0.690648,-0.648817,0.150708
"partial observability","continuous key explanatory variable",1.15108e-12,-0.649544,-0.224536
"partial observability","continuous key explanatory variable",0.679983,0.423534,-0.229974
"partial observability","continuous key explanatory variable",2.22045e-16,-0.308699,0.304335
"partial observability","continuous key explanatory variable",0.542753,0.748427,-0.237249
"partial observability","continuous key explanatory variable",-0.0969797,-0.0732186,-0.286794
"partial observability","continuous key explanatory variable",4.03467e-10,0.342343,-0.0994116
"partial observability","continuous key explanatory variable",-0.659062,-0.73505,0.260749
"partial observability","continuous key explanatory variable",0.176379,-0.313744,0.439851
"partial observability","continuous key explanatory variable",-0.177062,-0.207419,0.63016
"partial observability","continuous key explanatory variable",0.104866,0.136349,0.361845
"partial observability","continuous key explanatory variable",-0.584249,-0.504573,0.324573
"partial observability","continuous key explanatory variable",0.355011,0.33531,-0.802226
"partial observability","continuous key explanatory variable",0.340682,0.224433,-0.137849
